nom,prix,poids,image,site
MAITRE COQ    Le poulet du rôtisseur découpe en 8 morceaux,6610,0.92,https://media.auchan.fr/MEDIASTEP103292564_460x460/B2CD/,auchan.fr
LOUE    Poulet entier fermier jaune label rouge,8125,1.250,https://media.auchan.fr/MEDIASTEP103794823_460x460/B2CD/,auchan.fr
AUCHAN    Poulet entier cuit fumé,4593,1.25,https://media.auchan.fr/MEDIASTEP84665451_460x460/B2CD/,auchan.fr
LE GAULOIS    Poulet entier blanc,3013,1.1,https://media.auchan.fr/MEDIASTEP61629919_460x460/B2CD/,auchan.fr
LYRE    Poulet entier jaune fermier label rouge,6674,1.250,https://media.auchan.fr/MEDIASTEP161759362_460x460/B2CD/,auchan.fr
LYRE    Poulet entier blanc fermier label rouge,6674,1.250,https://media.auchan.fr/MEDIASTEP161759272_460x460/B2CD/,auchan.fr
LYRE    Poulet entier blanc filière responsable plein air bio,10977,1.350,https://media.auchan.fr/MEDIASTEP126185472_460x460/B2CD/,auchan.fr
LYRE    Poulet entier jaune filière responsable plein air bio,11337,1.350,https://media.auchan.fr/MEDIASTEP174083832_460x460/B2CD/,auchan.fr
